Jahr,Quartal,Region,Umsatz_EUR
2024,Q1,EMEA,142000
2024,Q1,APAC,198000
2024,Q1,Americas,87000
2024,Q2,EMEA,138000
2024,Q2,APAC,205000
2024,Q2,Americas,91000
2024,Q3,EMEA,151000
2024,Q3,APAC,188000
2024,Q3,Americas,96000
2024,Q4,EMEA,167000
2024,Q4,APAC,243000
2024,Q4,Americas,104000
2025,Q1,EMEA,149000
2025,Q1,APAC,211000
2025,Q1,Americas,108000
2025,Q2,EMEA,156000
2025,Q2,APAC,219000
2025,Q2,Americas,117000
2025,Q3,EMEA,162000
2025,Q3,APAC,207000
2025,Q3,Americas,124000
2025,Q4,EMEA,181000
2025,Q4,APAC,268000
2025,Q4,Americas,139000
